Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-03-17,"79,09%","80,17%","82,26%","53,33%","33,33%","80,00%","33,33%","74,60%","77,96%"
21-03-19,"81,97%","83,48%","84,31%","90,00%","33,33%","80,00%","33,33%","70,99%","79,07%"
21-03-21,"79,29%","80,11%","82,21%","70,00%","33,33%","50,00%","44,44%","72,87%","77,62%"
21-03-23,"75,89%","76,86%","78,46%","77,78%","33,33%","50,00%","33,33%","73,68%","75,30%"
21-03-24,"74,86%","76,64%","78,22%","88,89%","50,00%","30,00%","33,33%","70,54%","73,74%"
21-03-26,"72,51%","74,36%","74,54%","77,78%","33,33%","90,00%","28,57%","74,80%","73,08%"
21-03-28,"78,42%","79,77%","80,67%","77,78%","33,33%","80,00%","33,33%","68,64%","76,03%"
21-03-30,"80,00%","81,52%","84,82%","63,64%","33,33%","30,00%","33,33%","70,25%","77,47%"
21-04-01,"82,47%","84,08%","86,80%","50,00%","33,33%","80,00%","33,33%","72,50%","79,91%"
21-04-03,"75,29%","76,62%","78,31%","42,86%","66,67%","80,00%","44,44%","65,55%","72,77%"
21-04-05,"77,29%","78,70%","80,95%","35,71%","33,33%","100,00%","44,44%","67,80%","74,84%"
21-04-05,"77,29%","78,70%","80,95%","35,71%","33,33%","100,00%","44,44%","67,80%","74,84%"
21-04-07,"79,76%","81,62%","83,85%","42,86%","33,33%","100,00%","44,44%","67,21%","76,42%"
21-04-09,"77,08%","79,13%","81,79%","42,86%","33,33%","80,00%","33,33%","62,90%","73,26%"
21-04-11,"76,51%","78,23%","80,84%","35,71%","33,33%","90,00%","33,33%","64,17%","73,23%"
21-04-12,"78,74%","80,56%","82,35%","50,00%","33,33%","100,00%","44,44%","63,87%","74,83%"
21-04-14,"76,92%","79,03%","80,28%","71,43%","33,33%","100,00%","33,33%","64,10%","73,53%"
21-04-14,"76,92%","79,03%","80,28%","71,43%","33,33%","100,00%","33,33%","64,10%","73,53%"
21-04-15,"76,85%","78,64%","81,18%","46,67%","33,33%","100,00%","33,33%","64,17%","73,42%"
21-04-16,"70,55%","73,31%","75,43%","42,86%","33,33%","100,00%","0,00%","66,12%","69,35%"
21-04-17,"70,86%","73,63%","76,21%","35,71%","33,33%","100,00%","0,00%","65,00%","69,28%"
21-04-18,"69,33%","71,38%","73,45%","42,86%","33,33%","100,00%","0,00%","65,00%","68,16%"
21-04-19,"70,46%","72,58%","74,74%","50,00%","16,67%","100,00%","0,00%","64,46%","68,83%"
21-04-20,"71,17%","73,55%","75,78%","50,00%","16,67%","100,00%","10,00%","66,12%","69,80%"
21-04-21,"70,15%","72,58%","74,74%","42,86%","33,33%","100,00%","0,00%","63,64%","68,39%"
21-04-22,"67,38%","69,35%","71,97%","35,71%","16,67%","100,00%","0,00%","61,98%","65,92%"
21-04-23,"66,56%","68,49%","70,69%","42,86%","16,67%","100,00%","0,00%","59,50%","64,65%"
21-04-24,"65,43%","67,31%","69,44%","42,86%","16,67%","100,00%","0,00%","58,82%","63,66%"
21-04-25,"64,72%","66,56%","68,06%","62,50%","0,00%","100,00%","0,00%","66,04%","65,05%"
21-04-26,"60,74%","62,70%","64,01%","60,00%","0,00%","100,00%","0,00%","58,26%","60,09%"
21-04-27,"59,69%","61,61%","63,19%","53,33%","0,00%","100,00%","0,00%","54,72%","58,47%"
21-04-28,"61,23%","63,23%","64,24%","60,00%","16,67%","100,00%","0,00%","51,85%","58,89%"
21-04-29,"57,45%","59,87%","61,67%","40,00%","16,67%","100,00%","7,14%","48,67%","55,20%"
21-04-30,"58,77%","60,65%","62,85%","33,33%","16,67%","100,00%","0,00%","44,55%","55,17%"
21-05-01,"59,94%","61,56%","63,54%","38,46%","16,67%","0,00%","0,00%","48,98%","57,38%"
21-05-02,"61,11%","62,78%","64,58%","46,67%","16,67%","0,00%","0,00%","47,96%","58,06%"
21-05-03,"60,74%","62,06%","63,32%","40,00%","50,00%","100,00%","0,00%","51,02%","58,49%"
21-05-04,"56,66%","59,09%","60,76%","30,77%","33,33%","100,00%","0,00%","49,49%","54,98%"
21-05-05,"56,66%","58,44%","60,42%","23,08%","33,33%","100,00%","0,00%","50,51%","55,21%"
21-05-06,"54,63%","56,31%","58,13%","23,08%","33,33%","100,00%","0,00%","46,46%","52,72%"
21-05-07,"56,44%","58,20%","60,55%","13,33%","50,00%","100,00%","0,00%","45,83%","54,03%"
21-05-09,"57,54%","58,39%","59,86%","26,67%","66,67%","0,00%","11,11%","39,58%","53,44%"
21-05-12,"54,26%","54,97%","57,14%","23,08%","66,67%","30,00%","11,11%","44,44%","51,92%"
21-05-11,"54,22%","54,95%","56,20%","23,08%","66,67%","0,00%","11,11%","41,41%","51,11%"
21-05-13,"54,55%","55,82%","57,14%","23,08%","66,67%","0,00%","10,00%","47,47%","52,83%"
21-05-14,"55,66%","57,14%","58,91%","23,08%","50,00%","0,00%","0,00%","46,46%","53,43%"
21-05-15,"56,31%","58,16%","58,55%","53,85%","50,00%","0,00%","0,00%","49,40%","54,85%"
21-05-17,"58,25%","59,73%","60,22%","61,54%","33,33%","0,00%","20,00%","45,57%","55,67%"
21-05-18,"57,00%","58,45%","59,54%","62,50%","0,00%","0,00%","20,00%","37,78%","52,56%"
21-05-19,"57,48%","58,06%","58,94%","70,00%","0,00%","0,00%","11,11%","52,38%","56,58%"
21-05-20,"58,72%","60,07%","61,60%","50,00%","16,67%","0,00%","0,00%","49,23%","57,02%"
21-05-21,"54,98%","57,09%","57,61%","50,00%","50,00%","0,00%","11,11%","51,56%","54,40%"
21-05-22,"52,73%","53,72%","55,07%","35,71%","33,33%","0,00%","11,11%","50,77%","52,39%"
21-05-23,"52,44%","54,11%","53,99%","70,00%","33,33%","0,00%","0,00%","50,77%","52,15%"
21-05-24,"53,42%","55,14%","55,80%","50,00%","33,33%","0,00%","0,00%","48,44%","52,56%"
21-05-25,"54,40%","56,16%","57,25%","40,00%","33,33%","0,00%","0,00%","53,03%","54,16%"
21-05-26,"57,98%","59,25%","60,14%","40,00%","50,00%","0,00%","0,00%","55,22%","57,49%"
21-05-27,"61,40%","62,59%","65,10%","33,33%","0,00%","0,00%","0,00%","56,72%","60,51%"
21-05-28,"59,09%","60,52%","63,28%","22,22%","0,00%","0,00%","0,00%","58,21%","58,92%"
21-05-29,"56,64%","58,30%","60,94%","22,22%","0,00%","0,00%","11,11%","50,65%","55,37%"
21-05-30,"57,39%","58,74%","61,02%","33,33%","0,00%","0,00%","11,11%","54,55%","56,79%"
21-05-31,"60,28%","60,29%","62,65%","33,33%","0,00%","0,00%","11,11%","57,33%","59,67%"
21-06-01,"56,14%","57,78%","60,00%","33,33%","0,00%","0,00%","0,00%","51,35%","55,15%"
21-06-02,"56,79%","57,56%","59,77%","33,33%","0,00%","0,00%","30,00%","46,05%","54,55%"
21-06-03,"55,33%","56,52%","58,98%","35,71%","0,00%","0,00%","11,11%","42,67%","52,73%"
21-06-04,"57,14%","59,19%","60,16%","70,00%","0,00%","0,00%","11,11%","45,45%","54,67%"
21-06-05,"57,80%","59,93%","61,94%","50,00%","0,00%","0,00%","11,11%","52,24%","56,73%"
21-06-06,"56,21%","58,18%","60,39%","42,86%","0,00%","0,00%","11,11%","55,22%","56,02%"
21-06-07,"56,14%","58,15%","59,61%","55,56%","0,00%","0,00%","11,11%","58,21%","56,53%"
21-06-08,"51,75%","53,51%","54,69%","55,56%","0,00%","0,00%","11,11%","54,41%","52,26%"
21-06-09,"51,20%","52,90%","55,08%","35,71%","0,00%","0,00%","11,11%","56,72%","52,23%"
21-06-10,"53,08%","54,87%","55,56%","55,56%","16,67%","100,00%","11,11%","57,58%","53,91%"
21-06-11,"59,14%","60,98%","62,90%","33,33%","16,67%","100,00%","11,11%","56,25%","58,60%"
21-06-12,"57,50%","59,62%","61,04%","44,44%","16,67%","100,00%","0,00%","54,69%","56,98%"
21-06-13,"59,50%","61,74%","62,50%","55,56%","33,33%","100,00%","0,00%","54,69%","58,60%"
21-06-14,"61,96%","64,37%","65,31%","55,56%","33,33%","100,00%","0,00%","54,69%","60,59%"
21-06-15,"58,55%","60,38%","61,07%","55,56%","33,33%","100,00%","11,11%","46,15%","56,18%"
21-06-16,"55,15%","56,42%","57,44%","44,44%","33,33%","0,00%","22,22%","50,00%","54,19%"
21-06-17,"54,41%","56,03%","57,85%","33,33%","16,67%","0,00%","11,11%","53,97%","54,33%"
21-06-18,"51,66%","53,52%","55,19%","33,33%","16,67%","0,00%","0,00%","57,81%","52,84%"
21-06-19,"53,11%","54,86%","56,61%","33,33%","16,67%","0,00%","10,00%","57,81%","54,01%"
21-06-21,"50,37%","52,55%","54,17%","33,33%","16,67%","0,00%","0,00%","56,25%","51,50%"
21-06-22,"50,56%","51,97%","53,97%","22,22%","16,67%","0,00%","0,00%","55,22%","51,49%"
21-06-23,"54,81%","56,86%","59,17%","22,22%","16,67%","0,00%","0,00%","52,94%","54,44%"
21-06-25,"56,51%","58,50%","62,23%","7,14%","33,33%","0,00%","0,00%","53,62%","55,92%"
