Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-03-17,"76,28%","85,04%","94,69%","76,11%","100,00%","86,96%","46,98%","74,46%","75,87%"
21-03-19,"77,27%","85,25%","90,00%","80,03%","100,00%","69,23%","49,82%","78,47%","77,53%"
21-03-21,"80,90%","88,25%","94,54%","82,14%","100,00%","76,92%","55,76%","74,94%","79,58%"
21-03-23,"81,39%","88,77%","95,57%","83,22%","100,00%","53,85%","54,68%","72,26%","79,75%"
21-03-24,"81,32%","88,70%","96,72%","82,94%","100,00%","34,62%","54,45%","71,96%","79,67%"
21-03-26,"79,52%","86,69%","92,71%","80,81%","100,00%","69,23%","53,05%","83,29%","80,34%"
21-03-28,"80,57%","87,07%","94,63%","80,17%","100,00%","65,38%","57,25%","72,29%","78,78%"
21-03-30,"81,81%","87,58%","95,84%","79,53%","100,00%","76,92%","61,21%","76,39%","80,64%"
21-04-01,"75,26%","80,43%","81,70%","77,95%","100,00%","65,38%","57,04%","80,00%","76,29%"
21-04-03,"76,12%","80,33%","80,00%","80,30%","100,00%","50,00%","62,82%","71,46%","75,12%"
21-04-05,"77,28%","83,09%","85,77%","80,56%","100,00%","50,00%","55,23%","75,54%","76,91%"
21-04-05,"77,28%","83,09%","85,77%","80,56%","100,00%","50,00%","55,23%","75,54%","76,91%"
21-04-07,"73,77%","80,87%","84,97%","76,50%","100,00%","57,69%","44,36%","73,51%","73,71%"
21-04-09,"76,21%","82,60%","86,46%","77,89%","100,00%","73,08%","50,00%","81,00%","77,24%"
21-04-11,"75,15%","80,73%","86,92%","73,57%","100,00%","76,00%","52,90%","74,71%","75,05%"
21-04-12,"74,79%","80,29%","85,20%","73,99%","100,00%","80,00%","52,54%","76,79%","75,22%"
21-04-14,"77,66%","84,67%","92,23%","76,61%","100,00%","76,92%","48,57%","74,47%","76,98%"
21-04-14,"77,66%","84,67%","92,23%","76,61%","100,00%","76,92%","48,57%","74,47%","76,98%"
21-04-15,"79,63%","86,70%","92,43%","80,44%","100,00%","78,85%","51,43%","77,25%","79,13%"
21-04-16,"78,40%","84,88%","92,08%","77,00%","100,00%","80,77%","53,21%","77,62%","78,23%"
21-04-17,"80,03%","86,40%","91,01%","81,49%","100,00%","76,92%","55,91%","76,22%","79,20%"
21-04-18,"81,52%","88,60%","93,65%","83,54%","100,00%","78,85%","54,48%","77,28%","80,61%"
21-04-19,"80,01%","87,62%","88,71%","86,53%","100,00%","76,92%","49,46%","74,76%","78,89%"
21-04-20,"79,38%","85,91%","87,30%","84,17%","100,00%","78,85%","53,05%","73,77%","78,16%"
21-04-21,"78,14%","85,50%","88,50%","82,61%","100,00%","75,47%","49,47%","74,06%","77,26%"
21-04-22,"78,78%","85,82%","89,23%","82,01%","100,00%","79,25%","51,60%","73,41%","77,61%"
21-04-23,"77,91%","85,09%","87,23%","81,52%","100,00%","85,45%","47,31%","76,00%","77,50%"
21-04-24,"77,36%","84,57%","86,68%","81,52%","100,00%","82,14%","48,18%","76,94%","77,27%"
21-04-25,"79,06%","86,13%","88,87%","82,79%","100,00%","82,69%","51,46%","74,05%","77,98%"
21-04-26,"82,21%","87,08%","90,33%","84,08%","100,00%","75,00%","61,60%","75,29%","80,69%"
21-04-27,"79,00%","84,20%","89,69%","78,56%","100,00%","71,43%","55,51%","76,58%","78,46%"
21-04-28,"80,85%","86,01%","96,66%","75,60%","100,00%","73,21%","57,79%","70,16%","78,45%"
21-04-29,"80,18%","85,93%","96,79%","75,04%","100,00%","75,00%","54,55%","80,55%","80,27%"
21-04-30,"80,13%","85,27%","94,12%","75,99%","100,00%","76,79%","56,06%","78,67%","79,78%"
21-05-01,"79,61%","85,40%","94,82%","75,61%","100,00%","75,00%","54,17%","77,53%","79,11%"
21-05-02,"83,62%","91,39%","100,54%","81,34%","100,00%","81,13%","53,03%","74,64%","81,40%"
21-05-03,"83,01%","89,58%","99,82%","79,48%","100,00%","81,13%","56,06%","71,19%","80,19%"
21-05-04,"81,39%","87,36%","97,86%","76,20%","100,00%","86,79%","56,82%","72,14%","79,19%"
21-05-05,"83,01%","88,51%","100,71%","76,01%","100,00%","85,71%","59,39%","75,37%","81,22%"
21-05-06,"78,49%","84,65%","93,39%","79,38%","69,39%","78,57%","50,57%","77,29%","78,21%"
21-05-07,"80,91%","86,46%","92,40%","79,93%","100,00%","76,79%","56,11%","75,10%","79,56%"
21-05-09,"79,24%","85,12%","93,05%","76,20%","100,00%","78,18%","54,58%","73,39%","77,87%"
21-05-09,"79,24%","85,12%","93,05%","76,20%","100,00%","78,18%","54,58%","73,39%","77,87%"
21-05-12,"83,16%","89,23%","97,87%","81,37%","100,00%","74,55%","55,73%","72,06%","80,54%"
21-05-11,"81,00%","85,60%","91,67%","79,66%","100,00%","73,21%","60,31%","70,59%","78,55%"
21-05-13,"81,40%","86,77%","93,44%","80,65%","100,00%","70,91%","58,11%","75,42%","79,99%"
21-05-14,"81,37%","86,95%","92,57%","81,34%","100,00%","74,55%","57,74%","75,36%","79,95%"
21-05-15,"79,30%","86,06%","89,34%","82,58%","100,00%","74,55%","50,19%","77,43%","78,85%"
21-05-15,"79,30%","86,06%","89,34%","82,58%","100,00%","74,55%","50,19%","77,43%","78,85%"
21-05-17,"81,05%","87,23%","93,52%","80,74%","100,00%","76,36%","54,72%","73,24%","79,19%"
21-05-18,"79,07%","83,59%","85,83%","80,17%","100,00%","76,36%","59,25%","71,75%","77,49%"
21-05-19,"78,80%","83,48%","86,11%","79,42%","100,00%","78,18%","58,87%","77,43%","78,48%"
21-05-20,"80,27%","84,31%","88,55%","78,31%","100,00%","81,82%","63,02%","77,18%","79,56%"
21-05-21,"80,00%","84,74%","90,15%","77,99%","100,00%","80,00%","60,00%","76,76%","79,25%"
21-05-22,"79,72%","85,28%","89,34%","80,17%","100,00%","78,57%","57,64%","74,58%","78,55%"
21-05-23,"81,21%","86,20%","90,95%","80,89%","100,00%","78,57%","60,75%","76,46%","80,12%"
21-05-24,"81,05%","85,83%","90,63%","80,55%","100,00%","76,79%","58,87%","70,02%","78,52%"
21-05-25,"81,36%","86,84%","91,11%","81,72%","100,00%","76,79%","56,23%","72,65%","79,37%"
21-05-26,"80,23%","84,77%","90,94%","76,72%","100,00%","80,36%","59,62%","74,49%","78,90%"
21-05-27,"82,86%","88,44%","90,15%","85,40%","100,00%","87,50%","58,11%","75,66%","81,19%"
21-05-28,"83,21%","88,82%","90,19%","85,06%","100,00%","100,00%","57,74%","76,64%","81,71%"
21-05-29,"82,99%","88,64%","90,67%","85,08%","100,00%","92,16%","59,62%","75,71%","81,29%"
21-05-30,"82,74%","87,96%","91,34%","83,56%","100,00%","84,31%","62,26%","74,69%","80,86%"
21-05-31,"82,67%","86,85%","91,67%","81,46%","100,00%","75,00%","65,66%","70,20%","79,77%"
